ISO,Drivers,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
COG,Forestry,219.68,443.8,35.04,23.77,175.36,183.73,362.02,666.26,532,172.99,760.58,5.9,890.8,708.76,266.16
COG,Shifting Agriculture,24438.48,21619.67,16282.8,12779.2,17326.83,19620.79,26832.06,15595.04,16799.64,39782.68,25086.06,29703.78,49824.85,66267.13,44716.56
COG,Urbanization,79.73,22.62,54.51,28.75,32.74,54.43,34.27,46.76,65.47,128.26,21.24,0.38,38.48,20.01,13.8
COL,COL,226566.61,179372.26,120620.91,250301.3,186159.06,187313.98,266031.59,228780.8,234475.28,193131.45,186770.64,222021.25,135958.09,198817.54,138835.61
COL,Commodity-Driven Deforestation,32536.01,38543.68,16451.09,57549.2,39103.15,37479.39,76724.78,60917.09,38821.94,37654.99,50006.95,37122.04,37517.71,55351.83,31878.03
COL,Forestry,11077.51,9303.37,9064.56,10070.57,9077.84,11051.99,9951.74,10683.08,11395.8,8350.27,9005.75,10982.23,6434.09,9288.67,7446.69
COL,Shifting Agriculture,181944.42,130656.77,94710.78,181436.93,137055.69,137317.4,178145.85,155762.35,182650.71,146281.36,126733.17,172739.86,91437.32,133203.6,98884.92
COL,Urbanization,863.64,660.67,298.8,967.55,770.61,1107.35,879.71,1106.63,1184.27,645.65,857.95,815.93,462.93,701.22,503.34
COL,Wildfire,145.02,207.77,95.67,277.06,151.78,357.83,329.51,311.64,422.56,199.18,166.83,361.21,106.03,272.22,122.63
COM,COM,34.64,40.07,25.22,40.08,79.33,12.66,73.74,31.19,109.12,88.24,119.22,117.89,1634.24,1346.89,401.45
COM,Shifting Agriculture,34.64,40.07,25.22,40.08,79.33,12.66,73.74,31.19,109.12,88.24,119.22,117.89,1634.24,1346.89,401.45
CPV,CPV,1.26,0.3,0,0.07,1.26,0.37,0,0.07,2.23,0.45,0.45,0,0.07,0.22,0
CPV,Forestry,1.26,0.3,0,0.07,1.26,0.37,0,0.07,2.23,0.45,0.45,0,0.07,0.22,0
CRI,CRI,15376.94,13218.02,8202.13,9678.08,16450.49,9985.29,11369.64,21723.45,22296.4,13035.43,10406.03,10251.65,7659.09,10816.57,3279.33
CRI,Commodity-Driven Deforestation,73.92,49.86,48.27,112.82,172.27,17.84,53.39,38.12,161.51,72.1,31.3,24.45,15.42,57.27,46.25
CRI,Forestry,659.44,404.01,314.39,327.85,761.13,512.15,478.95,1041.08,1446.7,450,689.5,805.7,960.07,1295.53,426.47
CRI,Shifting Agriculture,14134.29,12249.65,7558.17,9052.81,15181.01,9231.62,10567.75,20137.75,20207.14,12143.3,9534.94,9245.63,6507.35,9284.99,2740.01
CRI,Urbanization,140.29,271.08,28.21,62.78,115.72,94.48,67.03,105.93,222.71,60.21,52.17,77.35,33.75,38.83,42.16
CRI,Wildfire,369.01,243.41,253.1,121.81,220.37,129.19,202.52,400.56,258.35,309.82,98.12,98.52,142.51,139.96,24.43
CUB,CUB,18513.39,14681.61,6347.81,21140.49,12457.47,11960.37,7689.93,16561.69,15817.29,8429.42,15923.25,10062.59,5828.77,5649.15,6546.18
CUB,Commodity-Driven Deforestation,860.08,4785.79,498.31,788.6,789.43,811.88,1267.11,754.4,686.22,633.7,1044.76,890.14,468.88,349.42,346.65
CUB,Forestry,2700.57,2739.08,1498.97,6340.27,3220.55,2694.02,2172.37,4265.6,4539.34,2435.8,5048.96,1816.71,1968.37,2266.47,2663.6
CUB,Shifting Agriculture,14772.24,6550.49,4264.2,13733.68,8284.97,8197.31,4146.81,11441.9,10400.77,5287.64,9581.16,7213.99,3288.42,2943,3406.64
CUB,Urbanization,17.75,16.96,31.8,30.17,32.72,35.56,24.49,40.32,52.39,30.52,29.67,35.92,34.94,8.73,19.89
CUB,Wildfire,162.76,589.29,54.53,247.78,129.8,221.6,79.15,59.46,138.57,41.76,218.69,105.82,68.16,81.53,109.4
CYM,CYM,15.46,4.8,6.11,46.09,8.65,17.74,14.6,31.4,27.85,33.77,33.89,6.32,17.6,6.76,0.07
CYM,Shifting Agriculture,15.46,4.8,6.11,46.09,8.65,17.74,14.6,31.4,27.85,33.77,33.89,6.32,17.6,6.76,0.07
CYP,CYP,68.81,20.29,20.67,56.34,19.15,40,760.5,82.89,46.05,42.67,69.85,25.12,9.52,26.27,10.54
CYP,Forestry,62.85,11.98,10.33,42.02,8.68,20.41,62.75,56.37,28.35,24.4,49.81,10.21,5.27,8.5,4.7
CYP,Shifting Agriculture,3.55,6.09,9.64,9.64,8.75,11.79,692.43,24.55,17.58,18.28,18.83,14.84,4.19,15.29,5.84
CYP,Wildfire,2.41,2.22,0.7,4.69,1.71,7.79,5.32,1.96,0.13,0,1.2,0.06,0.06,2.47,0
CZE,CZE,3412.5,6687.69,3901.44,13306.95,25347.75,8531.82,21180.63,16772.09,13411.79,15348.11,21703.66,13873.08,7606.85,13842.49,7989.82
