Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,COL,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,4911864190,5048868912,5406708809,5746455235,5950145068,6154387977,6204638844,6689607113,6847786728,7227670638,7645558741,7878956634,8136452820,8796746047,9222930284,9427094182,9728994436,9544741258,9812824891,9984989417,10149410884,10492001698,11161855232,11470945468,11964051849,12661085097,13099371222,13264263363,13490988849,13833656344,14350069045,14172807473,14264944266,14270477087,14263684672,14812747368,15074583903,15760595625,16247611579,16731354578,17202005783,17568587345,18259507600,18112191733,18070105631,18124068747,18471000426,18934107493,20345143033,20937066240,21837428107,22435048688,23677028588
Comoros,COM,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,131915353.4,137015680.8,145760396.6,152788859.7,159066651.4,162695905.2,165731886.5,168447016.3,172975259.5,167472354.3,175999133.2,166503746.1,180708990.5,186139250.1,176316957.7,182682529.6,180324574.1,187592162.3,189998548.3,193652017.3,214661734.1,219668227.6,224774608.8,229505654.4,233909794.7,240547787.7,246916386.4,250348891.7,255857850.7,268649532.5,275901986.2,281695473.9,277472947.6,292177630.5,288963062.2,287519230.6,287806786.1,292985813
Congo Dem. Rep.,COD,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,2870161596,2884298444,2496064949,2563646095,2602939860,2701980898,2755397329,2714531366,2859169393,2764845200,2769562044,2854452549,2934598096,2993399412,3089212455,3154623026,3237398690,3326727627,3405120094,3474370969,3575944593,3676126650,3772134507,3877882331,3998935640,4074072245,4040678144,4509586144,4604287277,4479034887,4413903226,4515423108,3987126735,3927048050,3784321437,3809433692,3870783884,3889427349,4108705015,4222247331,4339310009,4460004915,4621208405,4786276042,4951550803,5161783747,5406441009,5658211439,5842672415,5936764242
Congo Rep.,COG,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,139687211.3,134698439.2,135508925.8,136456012,142415394.3,128435573.5,139070678,148069287,154613455.4,149705178.1,162794118.9,168520885.9,175065114.5,181609887.3,188154055.3,194698767.8,185700219,193062332.7,192244387.4,204515382.7,220053263.2,229725997.5,241212236.8,252094055.1,247862260.5,249675886.7,251701102.6,276408738.2,294762636.3,305898311.1,310734648,281180929.3,299904265.2,270696517.1,262070654.9,279027030.8,280533776.8,282752727.5,287507576.1,268880593.4,280612411.7,303124819.9,329125065.9,349735017.1,366540054.2,382710938.9,403320890,423487568.7,447115450.8,432869218.5,459950694.3,498538864.3,526251321.7,568286109.7,614141665.7,646321726.3,671793406.4,691947208.6
Costa Rica,CRI,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,404040884.8,418896090.3,444569198,443275190.6,462633541.9,472105676.4,514549120.7,555025673.6,605129641.9,668018403.7,695451361.6,727542746.2,766984093.1,810307462.4,796590983.5,820763042.6,824852106.1,843019970.6,898662290.8,903113676.4,898610530.5,944418394.1,900008058.6,935981465.5,1030185208,973300640.3,1019988429,1063104757,1111707677,1194420633,1224234564,1300788045,1366151004,1422997982,1499391677,1642212970,1678285962,1768468771,1911026981,1982322134,1956167329,1967669827,1918521746,2065636395,2112925323,2157709644,2354459305,2462879706,2383097080,2303138407,2454950123,2471767659,2591466731,2594202932,2634110932,2562266323,2695715289,2796300592
Cote d'Ivoire,CIV,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6554466570,6361702483,6104026370,6540826364,6367019297,6631712283,7704903683,7926677100,8524272652,9476042576
Croatia,HRV,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068186068,2097798654,2138100327,2287732648,2198953638,2094692106,2134264478,2230255038,2069923936,2359742361,2252426082,2449974664,2330911659,2496694216,2440658458,2219296399,2155738559,1778043579,1873222026,1632807766,1694616515,1818336995,1779753510
Cuba,CUB,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,1721130241,1868620731,1958743514,2026352517,2047120100,2240017454,2359936210,2566635888,2739142481,2773292726,2625808603,3137142555,3438352525,3641707320,3944354865,3858710558,3917712884,4003514847,4141619334,4159341592,3795817974,2885063796,2587242386,1998947845,1900610522,1978632016,2324217172,2378493266,2042790404,2280248316,2488219697,2510399832,2447251684,2505833333,2511052189,2218672259,2084541246,2460559764,2476216330,2471127946,2325000000,2425462963,2442424242,2557239057,2614646465,2679882155,2835143098,2796001684
Curacao,CUW,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,389500353.1,422464682.9,422898356.7,409018576,423765875,447621689.4,444585631.4,446320497.3,441549232,482754729.5,481453537.4,478851153.2,495333318.1,549551078,567768279.5,572105700.3,485791125.8,589455364.2,611576158.9,544780000,708794702,734437086.1,617947019.9,702927152.3,738622516.6,720304635.8,769006622.5,802357615.9,736516556.3,758344370.9,709615894,625827814.6,586013245,538145695.4,492649006.6,537907284.8,562185430.5,516026490.1,491509933.8,420132450.3,423774834.4,440026490.1,426569536.4
