"","ISO","Indicator","value.1992","value.2008","value.1993","value.1996","value.1991","value.1998","value.2015","value.2006","value.1990","value.1995","value.2005","value.2014","value.1994","value.2013","value.2016","value.2004","value.2002","value.2009","value.2010","value.1997","value.2011","value.2012","value.2000","value.2007","value.1999","value.2003","value.2001"
"1000","DNK","SUSI",0.248892151414026,0.351006324205374,0.254485233468274,0.269027246809318,0.243858377565203,0.258400390906247,0.222231793622111,0.323338381698577,0.23882460371638,0.269027246809318,0.305067696256194,0.331460540369393,0.260078315522521,0.434439878351484,0.309901216794137,0.288448069134162,0.262106778155717,0.369829605731202,0.387801498517062,0.266230705782194,0.404309260962954,0.418740151468881,0.250010767824875,0.331944395539577,0.250010767824875,0.27411196235179,0.253685101500708
"1027","DJI","SUSI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1054","DOM","SUSI",0.917377139611587,1.34435013896077,0.917377139611587,1.03304643112783,0.897434158315683,1.0609666049421,1.50549956841629,1.27101590568573,0.897434158315683,1.03304643112783,1.22599751069129,1.49914819059451,0.997149064795204,1.48730007977987,1.50549956841629,1.20464318030187,1.11095197261784,1.39986226881871,1.4273781431091,1.04900081616455,1.45055477666413,1.4708155153454,1.09686397127472,1.31819772012871,1.07692098997882,1.12486655619084,1.10136090812617
"1081","ECU","SUSI",1.34479139089929,1.64452581351783,1.3544894057375,1.38519978605852,1.33509337606107,1.39004879347763,1.37873444283304,1.57168191296321,1.32539536122286,1.37388543541394,1.51319397947008,1.40237167952521,1.36580375638209,1.44646551357808,1.37873444283304,1.43823049844885,1.318635616199,1.66345008393897,1.66947051184517,1.39489780089674,1.58321653854363,1.50781433618608,1.37873444283304,1.61482587143808,1.38519978605852,1.34642828350306,1.3552788879304
"1108","EGY","SUSI",1.41819570517312,1.66027755591388,1.56314541901254,1.58192627894523,1.2727644308226,1.58337096047851,1.6479523082346,1.66256579593327,1.27517223337807,1.58096315792304,1.65086757693505,1.62531026830403,1.57229506872334,1.63130206001521,1.64791681191125,1.6377907467663,1.64064956728971,1.65203664039119,1.63976518280543,1.58240783945632,1.62849345371689,1.62405623197012,1.58481564201179,1.65001756637216,1.5838525209896,1.63348831644567,1.60519141310277
"1135","SLV","SUSI",1.27810231173337,1.93154019468104,1.27810231173337,1.33754893088376,1.18893238300779,1.33754893088376,2.45217303995357,1.72335524568877,1.18893238300779,1.27810231173337,1.6257365822651,2.42711386166053,1.27810231173337,2.38036748163547,2.45217303995357,1.53693937805681,1.39932610278764,2.03534810249901,2.13446071403112,1.33754893088376,2.22549884040207,2.31532810737092,1.33754893088376,1.82641617945252,1.33754893088376,1.46034282193922,1.35726840947739
"1162","ERI","SUSI",NA,0.196626704123158,0.14675727034942,0.14675727034942,NA,0.14675727034942,0.24515134933369,0.176810213069939,NA,0.14675727034942,0.167518189896668,0.242776596950509,0.14675727034942,0.238346640147002,0.24515134933369,0.159065854551283,0.14596686612116,0.206507862614614,0.215942090156972,0.14675727034942,0.224607732055987,0.232183133617412,0.140086485333537,0.186620269376851,0.14675727034942,0.151774861728032,0.141963522424913
"1189","EST","SUSI",0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1216","ETH","SUSI",NA,1.31632703342181,0.848605500989713,0.848605500989713,NA,0.848605500989713,1.57958251669372,1.23270178620782,NA,0.848605500989713,1.17608263304168,1.4924273669023,0.848605500989713,1.45258151678639,1.57958251669372,1.10845589984368,0.939879768053367,1.34409354358511,1.37133392957133,0.848605500989713,1.39617694259217,1.42196735386798,0.848605500989713,1.27903620643314,0.848605500989713,1.02961703213586,0.842982976193386
"1243","FJI","SUSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1270","FIN","SUSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1297","FRA","SUSI",0.222311204195567,0.218879914863332,0.23881163579586,0.257386971968645,0.207490457249196,0.264797345441831,0.190964362017827,0.235013033912905,0.194645809895674,0.24800049890261,0.242696087872091,0.19296817803642,0.243554274818699,0.195385533340525,0.190964362017826,0.250283416867451,0.259613218275038,0.213222655090221,0.207763803350786,0.266674640055038,0.202778772644348,0.198553717372784,0.260252316378277,0.226764030482729,0.263315270747194,0.256982568142695,0.260841317961524
"1324","GUF","SUSI",2.31937441038189,4.43516159016947,2.48504401112345,3.14772241408971,1.90520040852798,3.56189641594362,3.97607041779753,4.62264520948187,1.65669600741564,2.89921801297736,4.71055694575147,3.99853792582272,2.7335484122358,4.04044970186262,3.97607041779753,4.63084025726167,4.34110085641749,4.34167605067601,4.25241892032392,3.31339201483127,4.17043337088789,4.09876257414257,3.97607041779753,4.52983236702964,3.72756601668518,4.45454571159048,4.12694116125866
"1351","GAB","SUSI",0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674,0.275206288441674
"1378","GMB","SUSI",0.437455978258088,0.370258638853452,0.437455978258088,0.437455978258088,0.437455978258088,0.437455978258088,0.437455978258088,0.432140714477583,0.218727989129044,0.437455978258088,0.368925951959664,0.452287524990541,0.437455978258088,0.47995487751931,0.437455978258088,0.390041619860259,0.422765580543534,0.543043499609012,0.619882784340372,0.437455978258088,0.56576140574854,0.518449137290081,0.437455978258088,0.401506297686488,0.437455978258088,0.408256015862124,0.432766754482764
"1405","GEO","SUSI",1.30911932037197,1.29723688067287,1.33821086082468,1.36439324723212,NA,1.36439324723212,1.32948339868887,1.28406805000983,NA,1.36439324723212,1.27789313844969,1.32790528317302,1.36439324723212,1.32496140421719,1.32948339868887,1.27227623217847,1.2839986958054,1.3038032956138,1.31007270751968,1.36439324723212,1.31583136430953,1.32086551390236,1.32948339868887,1.29058721477788,1.36439324723212,1.26743108327713,1.2871193790563
"1432","DEU","SUSI",0.113667265552515,0.0754070710158352,0.114374738159688,0.114374738159688,0.113667265552515,0.114374738159688,0.0211805070666089,0.0847206762955744,0.113667265552515,0.114374738159688,0.0930161560952413,0.0245409977148561,0.114374738159688,0.0306831836557962,0.0210683749703739,0.0994252884893408,0.111062485972509,0.0680081376736249,0.0574087521795225,0.114374738159688,0.047327208551781,0.0382467449973301,0.114374738159688,0.0812962881144179,0.114374738159688,0.106527063960349,0.114226436920877
"1459","GHA","SUSI",0.0539273752124172,0.282748021174616,0.0539273752124172,0.0539273752124172,0.0539273752124172,0.152794229768515,0.278624771930822,0.282201683020355,0.0539273752124172,0.0539273752124172,0.285844960565875,0.279640526690378,0.0539273752124172,0.265894502606142,0.278624771930822,0.280396613611118,0.276458888011543,0.278756349470743,0.274945223562652,0.089878958687362,0.271444581649651,0.268384361931045,0.278624771930822,0.286790300474966,0.215709500849669,0.283168686734123,0.277933414585281
"1486","GRC","SUSI",1.164198852688,1.19242440504592,1.11362077995679,1.12897483775019,1.08562220398058,1.1669083922986,1.12185100652399,1.32895147776277,1.02110806585219,1.11569809365825,1.36875212390306,1.12772803625066,1.11362077995679,1.13869127941086,1.12185100652399,1.36106953225919,1.30028733326209,1.1005116613541,1.02243187313933,1.1533606942456,1.06385417834734,1.10492091128077,1.19337156249546,1.28740130930213,1.1804560903516,1.34551094474081,1.24939950542091
"1513","GLP","SUSI",2.87270388369456,8.94980421566691,2.87270388369456,2.87270388369456,2.87270388369456,5.74540776738912,8.61811165108369,10.0636735025038,2.87270388369456,2.87270388369456,10.9785322508472,8.63434438611574,2.87270388369456,8.6646255705896,8.61811165108369,10.4813067469688,9.58212559389817,8.88226107780646,8.81777295811368,4.30905582554184,8.75853854284339,8.70675651825042,8.61811165108369,9.15694528060082,7.1817597092364,10.1108272655097,9.18001924330269
"1540","GTM","SUSI",0.792383788706223,1.70879516285526,0.805061929325523,0.824079140254472,0.760688437157974,0.919165194899219,1.46349840627132,1.79249896274984,0.741671226229025,0.817740069944822,1.8315624312118,1.47884808414051,0.811400999635172,1.50748197893724,1.46349840627132,1.86454974337579,1.55665441562341,1.66258946008282,1.61807898962588,0.824079140254472,1.58211788658042,1.5450320760393,1.14103265573696,1.75463851623484,1.01425124954397,1.90866292507945,1.26063501018624
"1567","GIN","SUSI",0.0211023242982223,0.0222746756481236,0.0218057351081631,0.0220402053781433,0.0211023242982223,0.0220402053781433,0.0222746756481236,0.0222746756481236,0.0211023242982223,0.0218057351081631,0.0222746756481236,0.0222746756481236,0.0218057351081631,0.0222746756481236,0.0222746756481236,0.0222746756481236,0.0222746756481236,0.0222746756481236,0.0222746756481236,0.0220402053781433,0.0222746756481236,0.0222746756481236,0.0222746756481236,0.0222746756481236,0.0222746756481236,0.0222746756481236,0.0222746756481236
"1594","GNB","SUSI",0.496432562600365,0.730047886177008,0.496432562600365,0.671644055282847,0.496432562600365,0.671644055282847,0.730047886177008,0.730047886177008,0.496432562600365,0.584038308941606,0.730047886177008,0.730047886177008,0.496432562600365,0.730047886177008,0.730047886177008,0.730047886177008,0.730047886177008,0.730047886177008,0.730047886177008,0.671644055282847,0.730047886177008,0.730047886177008,0.730047886177008,0.730047886177008,0.671644055282847,0.730047886177008,0.730047886177008
"1621","GUY","SUSI",1.63067320993777,1.47592824570345,1.63067320993777,1.63067320993777,1.63067320993777,1.63067320993777,1.37060173901949,1.52153460770761,1.52196166260858,1.63067320993777,1.54341433606105,1.37476003918242,1.63067320993777,1.38251709639323,1.37060173901949,1.56389638594017,1.59827405591774,1.45335498368557,1.43169078645905,1.63067320993777,1.41149264641029,1.39330967855371,1.61980205520485,1.49884570275427,1.62523763257131,1.58238437809854,1.61095328540731
